name,total_count,text_review_count,avg_rating,positive_count,neutral_count,negative_count,positive_rate,sources
南海影视城,170,170,4.6,3,14,3,15.0,马蜂窝;携程
康有为故居,32,32,4.82,1,10,0,9.1,马蜂窝;携程
黄氏宗祠,8,0,3.61,0,7,1,0.0,高德
李氏宗祠,6,0,3.4,0,4,2,0.0,高德
梁氏宗祠,5,0,3.14,0,4,1,0.0,高德
陈氏宗祠,8,4,3.12,0,2,2,0.0,携程;高德
胡氏宗祠,3,0,3.63,1,1,1,33.3,高德
曾氏宗祠,3,0,3.83,0,3,0,0.0,高德
黎氏宗祠,3,0,3.33,1,1,1,33.3,高德
刘氏大宗祠,3,0,3.9,2,1,0,66.7,高德
观音庙,4,1,3.87,1,2,0,33.3,携程;高德
何氏宗祠,3,0,3.67,0,3,0,0.0,高德
张氏宗祠,3,0,3.37,0,2,1,0.0,高德
吴氏大宗祠,3,0,3.5,1,2,0,33.3,高德
李氏大宗祠,3,0,3.23,0,3,0,0.0,高德
潘氏宗祠,2,0,4.0,1,1,0,50.0,高德
刘氏宗祠,2,0,3.8,1,1,0,50.0,高德
郭氏宗祠,2,0,3.85,1,1,0,50.0,高德
罗氏宗祠,2,0,3.9,0,2,0,0.0,高德
市民广场,3,1,4.2,2,0,0,100.0,携程;高德
孙氏宗祠,2,0,4.0,1,1,0,50.0,高德
白氏宗祠,2,0,3.85,0,2,0,0.0,高德
谢氏宗祠,2,0,3.5,0,2,0,0.0,高德
文武庙,2,0,3.9,1,1,0,50.0,高德
梁氏大宗祠,3,1,3.45,0,2,0,0.0,携程;高德
吴氏宗祠,2,0,3.65,0,2,0,0.0,高德
张红山咏春拳馆,2,0,2.55,0,1,1,0.0,高德
随墨书院,2,0,4.05,1,1,0,50.0,高德
方圆书院,2,0,2.65,0,1,1,0.0,高德
子墨书院,2,0,3.8,0,2,0,0.0,高德
五斗水闸牌坊,1,0,4.3,1,0,0,100.0,高德
银坑村祠堂(乡约),2,1,4.1,1,0,0,100.0,去哪儿;高德
拱北公园,1,0,4.3,1,0,0,100.0,高德
恒大御景半岛钟楼,1,0,4.3,1,0,0,100.0,高德
大德社区活动公园,1,0,4.0,1,0,0,100.0,高德
马大将军庙,1,0,3.9,0,1,0,0.0,高德
真成周公祠,1,0,4.0,1,0,0,100.0,高德
基督教里水堂,1,0,4.1,1,0,0,100.0,高德
大沥公园,5,4,4.3,1,0,0,100.0,携程;高德
